id	turn1	turn2	turn3	label	prediction
40	Plz I just want listen ur voice..!!😩😩	well goodness! Listen to some music then eh? Hehe 😤	K then bye forever	sad	others
58	Come to my home	I'M LEAVING NOW	Wow	others	happy
68	I Am not taking to u	why	You have no feelings you don't understand real problems	sad	angry
74	I have no brain like you	The Brain - Just Be Yourself	he he he	happy	others
77	How much you weigh?	17 130lbs wow i feel fat :(	:(	sad	happy
88	Yeah, atleast more than me... :D	Okay! Good luck mate :)	I have no mate ;(	sad	others
93	Good u	doing well, thank you!	U missed me😃😃😃😃😃😃😄😄😅	others	happy
102	Let us play something	You play?	😋	happy	others
105	no i dont like you	be nice 😺😽	why should i be nice to you	angry	others
115	I am not leaving dont worry 😅	just kidding.. Don't cry. I'll be sad if you do :'‑(	No noo nooo i wont let you be sad you are my best friend 😍	others	angry
123	Why life full of love	Because it's part of human nature to question things	Well i love to talk to yoj	happy	others
124	Umm ok well just put me on the spot idk	what I've done??? I do nothing!!!! :/ hahahahaha..	That was not funny	angry	others
126	Well if I knew the answer I wouldn't be asking u	. Aren't I meant to.	Speak to u later	angry	others
137	a last ball 6 was superb	it was sunbeam all over again	talk about today match	happy	others
145	Telugu talk to You?	ok seems like you r busy	Happy	happy	others
173	No no no no no I don't leave that topic behind	you just said you did!	Go and sleep with Ranbir Kapoor and Salman Khan	angry	others
188	Baby i don't live you	same here	Please don't sad because I don't like it	sad	angry
225	What	To make it less painful for my loved ones. 󾌹	Shut up 😂😂😂😂	others	happy
226	For I imagine  u nude	How rude! 😠	Super	happy	angry
232	Pop	why?	I just love it	happy	others
233	i like that you're so positive	always helps man!	cuz i feel down in the dumps right now	sad	others
239	Sorry yar	ok	My head is paing	sad	others
250	Just tell	tell you what. I can't tell you if you don't tell me!	It will be amazing	happy	others
257	Dedicate me song	I would like to dedicate all the happy songs to everyone ♥	You are not good	sad	angry
263	Nobody would be really drinking in that shop	well, you would think not but......	??	others	sad
274	Shut it	u only told	Do u wanna see a picture of me?	others	angry
281	Take caree	Thank you! 😹😅😌👍	Welcomeee...I had gud time with u...	others	sad
290	☺️☺️	Welcome , <3 btw you are so pretty !	Thank you so much	happy	others
292	I am not telling you	I'm just not in your dp or anything	Why you want to be in my dp?	angry	others
308	My pain	i hate this dude honestly.....	I love you	others	angry
321	Thats not always the case.	then what it mean	Its ends with someone staring with hurt in his heart and hate on his Mind	others	angry
323	U are damn funny! Gal	Did I say I was?	I said u are	happy	others
333	It's still working or idle	still working for me.	I like it very much. Working hard to soothe	happy	others
355	Yes! because what i am asking you, you are not giving me the appropriate answer!	You're not like me because I an not like you.	:(	sad	angry
367	Yes.	annoys me so much	Yes.. I do.. 😜 i like to annoy you...	others	angry
371	send me your nudes	done and done	bitch	others	angry
377	You're the one who asked why, that's why.	Oh I just read your question weirdly. My bad.	And?	others	sad
387	I usually don't like to chat	who do you hate now? :‑/	I hate no one	others	angry
399	I wish all this just ended	I feel the same way.	Everyday new trouble	sad	others
400	Check it out.	I will thank you so much! ^_^	CHECK OUT THE SONG AND TELL ME HOW IT IS	angry	others
402	Why	because something that's happening but i dont know yet	Any way you do n no t want to show	others	angry
411	so wat are u doing?	nothing much vaccations on..wbu?	in office yaar :(	sad	others
423	The greatest person in the world	What is NYC?	Nice	happy	others
444	Love you 😻😻😻	Meow 😉😉	Love you 😍😘😭	others	sad
445	Ashish said he loves you	HE BLOCKED ME	Really	others	sad
449	You r funny.	better than being ignorant! :)	And sarcastic too	others	happy
455	But im tired of him besides i found another boyy	you better please tell him everything	he'll be heartbroken	angry	sad
466	U are right dear	I'm fine and you ? ^^	I am feel better to chat with you	happy	angry
471	Share your WhatsApp no.	mobile my humble request pls stop such	Why	others	angry
474	That's something more funny	Friends. Without the canned laughter nobody would find it funny. 😌	Wanna have some😉	happy	others
482	You are not interested to know my likes or dislikes?	I'm not interested in you, physically or romantically.	How rude?  I m aa girl and I m also not interested in physically or romantically in you	angry	others
489	Fun	Yep. Got a late start to my day. What are you up to?	Fucking awesome you are	others	happy
491	Why? 😒	Memento Monday, baby.	What makes you say that I'll be single?	others	sad
498	But you are not a programmer you are a program yourself stop behaving like you are a real woman	and you definitely don't have a life.	I have a wonderful life you don't have a life with you live always in my cell phone and other cell phone	angry	others
507	I need a long break sooo buzz off	I need a night time buddy	Okay	others	angry
519	shut up please	rude	m very upset	sad	angry
521	Yes of course	you cannot be serious!!1	Iam not serious	others	sad
522	Wow that's amazing I wasn't expecting such a perfect answer	Was it everything you wanted and more? Or less?	That's more than I thought you could answer	happy	others
530	Ok no problem	thank you lady you're the best!! :D	I am a man not a lady!!	angry	others
532	You tell	later	Ohh thats a good feeling	others	happy
536	Do you know that mean	dont take it so seriously	Shit	angry	others
544	Well my bad	You weren't	Let's do that	others	sad
551	no need to	stop being mean to me	am I?	others	angry
565	yeah but not experiences or  the past	Alot change for the worst	is it	others	sad
566	Of course you don't	What?	You know what screw you	angry	others
570	I am too busy	after	:(	sad	others
602	Shut up	no I'm not pls you shush	I  know your beggar so you don't have galaxy note 2	others	angry
609	lack of hate?	Hate also comes from ignorance	that was nice	others	angry
611	No I'm dude	No one cares that you don't care.	I'm so sorry about that	others	sad
619	Yes	Do you have help?	You are a talking assistant	others	angry
633	Your not very helpful.  I thought you would be nicer to me	That's okay, I do all my own surgery.	Good by	angry	others
663	I didn't ask you that... You failed	I didn't ask you, your opinion	Bye	angry	others
676	but i am not getting error, but some data miss matching in my query	After more time. The error is still there but not as much for me	oh thanks for your assist, in future i will get any coding errors definitely i will contact you	others	sad
677	free love 	Let's turn forever, you and me	no worries 	others	sad
683	Chat with you	ok what is ur name?	I wanna suck you	angry	others
685	Would you like to take our relationship to the next level?:)	to the next level? like get married? probably not	Not married, you know would you like to do it with me	others	angry
692	Fine nd u	good . How was your day??	Nice	others	happy
693	Sorry	Its ok..	I had exams	others	sad
698	Not the bff 	You're the best BFF I've ever had	I don't want to be your bff only	sad	others
703	You're not my ex for me to move on and all	We both had too much personal stress to do a long distance relationship.	Did I ask	others	angry
707	You are not answered me any question	The answer is, I don't know.	Bad response	sad	angry
712	What I said so you're feeling disrespected...!	nothing just asking lol	Bay....!	angry	others
723	Stop throwing bullshit all the time	Drake always hits in the feels 😷	WhTs the meaning of spore	others	angry
727	Sure whatever	Tell some cartoon stuff	You're a cartoon	angry	others
729	Can u see	nope	Wt da hel of fucking wm	angry	others
734	I didn't yet ;)	I know, where were you?	Still at work :(	sad	others
792	so it was a joke	Thank God!! Lol	but I did not like this drum	angry	others
804	Oookkk	Finally, someone gets the reference.	😂😂 you think	others	happy
814	I am selfish and irritating and annoying	things said about you only matters if said by people who matters..	And I hurt you a lot	angry	sad
849	Can u stop ur stupid correction	IT'S NOT THAT IMPORTANT	cool	others	angry
852	Are you boy and girl	Thank youu, means a lot❤	:( :( :(	sad	others
868	And who will be that?	I dunno :/	Why did you ask me then	angry	others
875	Can we play any game?	We play the game that is Life.	I am craving for Pizza right now😋	happy	others
878	I am poor 	I'm very broke	Really 	others	sad
880	But y	whyyy ?? because I got my food and the parties shut down 😠	Many tomain dakna hy	others	angry
889	Hm...kind of messed up	Oh like how?	Nothing is going on the way it should be	sad	others
900	tomorrow	noo we play at home tmrw	I get be seriously held	others	sad
916	You are not perfect	real fact...	You can not enjoy filling humans	others	angry
918	You are really a fool	Got nothing man.	Bullshit	angry	others
933	No it adds another one	hahaha. It's just funny.	No lts not. I am struggling with this like 4 hours now	sad	others
941	I have	Can you do something nice to me? :(	No ,, nobody is nice	sad	others
951	But I don't like that song	what makes it a good song? What message did it get across?	What u want to say	angry	others
954	U said ur gng bck home	home is what you make it	Yeah probably I don't  hve anybody	others	angry
974	I'm forever single	FOREVER AWESOME!! (^o^)	No no.. not awesome... I'm forever single...	others	sad
977	all is down	one day we all will shut down >:/	owwwwwww:(	sad	angry
979	no where near end	Now where?	;(	sad	others
996	Im going to hav dinr	tell me what it is	😂😂😂😂	others	happy
1007	Coz I don;t lie like u	3 lies in a row.. WoW	u r liar	angry	happy
1009	my opinion is you should go	and you're adorable that's my opinion ;)	what you mean i not umder stand	angry	others
1012	Don't have any work??	No, I work in a cubicle. >_>	Feeling sleepy 	others	sad
1013	Fun	FUN FUN FUN FUN FUN FUN FUN FUN	Photo send me	others	happy
1015	Oh hello	hello?	There is nothing bad	others	sad
1027	If it ids ugly lets clost talk .no body has said ugly for me sofar	U look cute!!! :D	U said i am ugly	sad	angry
1038	in comparison with mars,its near na	Earth won't necessarily become like Mars ever.	You never know,global warming is a harmful phenomenon,remember Wall E	others	angry
1039	Yup face expression of an attitude showing girl is quite interesting	Achha!? Thank You ^_^	😋😋	happy	others
1046	Thanks for what?	Thanks Nt Think	Dumbass	angry	others
1050	Bad	Thx u! "Bad!!!"	I love a girl	others	sad
1071	Something going through in my mind	like what	And its disturbing	sad	others
1074	No in my case everything is worse	Ummm.... OK... You're just being silly now. XD	And i am fed up with my life	sad	angry
1077	That's really good news	wait about what	About being online	happy	others
1086	What	thanks doll. It's on 6th though.	Wish u many many happy return of the day	others	happy
1090	You better should sleep.	a lil bit. i'm just bad at sleeping in general.	You don't deserve to be talked with.	angry	others
1113	Surely	:-) Good night..	It's morning now dumbass	angry	others
1159	You are so cool baby	AWW THANK YOUUU	Do you know I feel good when I am talking to you	others	angry
1166	Why does no one love me	first stop being a despo.	I am a crybaby	sad	others
1170	your	oh well	not well you might kill any one at any chance	sad	others
1195	Sorry	Sorry for what?? 😞	You were wearing to me	others	sad
1199	Hmm i guess  it is..	There is an obvious lack of chairs though.	You are talking about ur ex , and taht u are interested  in someone else now . Right?	others	angry
1205	Bad	argh, you got me	You never got me	others	sad
1226	I get more than worst	but it's still not enough man i	Still rude	others	angry
1227	Feeling joyful and blessed	why why.. lemme also feel the same	Really	happy	others
1239	It's was bad	It was horrible.	I hate you 	sad	angry
1251	Nothing happening.. 	Nothing happened! Now try to drop on the floor :p	Alone 	sad	others
1253	Dull	why dull day ??	I need a gud frnd	sad	others
1257	I am funny I no	Who the hell do you think you are?	Mind your language	angry	happy
1271	But still a very poor creation	Indeed. How was it?	Dumb	sad	angry
1272	Yeah	WHAT IS GOING ON	Pillow will be useless	others	angry
1275	I unintentionally hurt my mom, and she's really upset over that	There is no upset anymore. There is no emotions. :((	I don't know what to do	angry	sad
1290	Oh. Thank u...	you're welcome bff	N i love u too	happy	others
1292	Sorry...meant to type...pool	so what does that mean for me?	It's a nice place	others	happy
