id	turn1	turn2	turn3	label	prediction
5	Never thought about that	Spontaneity is lack of not being spontaneous.	Quite deep thoughts you have!	others	sad
8	I am pissed	:O what happened fellow poom?	They won't let me enter my old school	angry	others
30	You know you are still not very efficient, no offense.	No you are	Stop it. Look how you responded back above	angry	others
40	Plz I just want listen ur voice..!!😩😩	well goodness! Listen to some music then eh? Hehe 😤	K then bye forever	sad	others
54	oh really I don't think so	you think a lot haha 😂	thanks	others	happy
58	Come to my home	I'M LEAVING NOW	Wow	others	happy
68	I Am not taking to u	why	You have no feelings you don't understand real problems	sad	angry
74	I have no brain like you	The Brain - Just Be Yourself	he he he	happy	others
93	Good u	doing well, thank you!	U missed me😃😃😃😃😃😃😄😄😅	others	happy
97	so how you are feeling today	feeling good, feeling great!!! :D	sounds good	others	happy
101	I thought you cared about our friendship	remember when i told the truth and you ran out of excuses	No i don't	others	angry
105	no i dont like you	be nice 😺😽	why should i be nice to you	angry	others
113	Im kindhearted although they hurt me	they wont! Coz they never care for u at all...	Ok	others	sad
115	I am not leaving dont worry 😅	just kidding.. Don't cry. I'll be sad if you do :'‑(	No noo nooo i wont let you be sad you are my best friend 😍	others	sad
123	Why life full of love	Because it's part of human nature to question things	Well i love to talk to yoj	happy	others
126	Well if I knew the answer I wouldn't be asking u	. Aren't I meant to.	Speak to u later	angry	others
137	a last ball 6 was superb	it was sunbeam all over again	talk about today match	happy	others
145	Telugu talk to You?	ok seems like you r busy	Happy	happy	others
156	This is not being alone , this is feeling alone being in a crowd	why?!	My life is all messed up	sad	others
157	It is computerised answer u gave me I had asked questions previously,I think it is computerised that's why u are telling yes or no and other thing	I've addressed all of your questions which were on topic.	U are a person or what	angry	others
169	enjoying my Sunday now	Its monday now.	Planned for a party	happy	others
173	No no no no no I don't leave that topic behind	you just said you did!	Go and sleep with Ranbir Kapoor and Salman Khan	angry	others
178	Sorry	oh it's fine!!!	Tomorrow is special day because its birthday of that girl who is most important in my life	others	sad
184	I wanna show you that I'm funky	I never show it	But I will 😁	others	happy
218	May bee fun 	or not to bee?	Some time feel alone 	sad	others
219	My girlfriend	You are getting a girlfriend for your loved one?	No I'm talking with my girlfriend	others	sad
224	a lotof wrong people and now im talking to you and i dont even know if youre real or not	I didn't say it was satire, I just used the exact same argument	hhaahah you are funny	happy	angry
225	What	To make it less painful for my loved ones. 󾌹	Shut up 😂😂😂😂	others	happy
226	For I imagine  u nude	How rude! 😠	Super	happy	angry
232	Pop	why?	I just love it	happy	others
233	i like that you're so positive	always helps man!	cuz i feel down in the dumps right now	sad	others
247	I want more	never enough	If you don't send me I will leave this group	angry	others
253	Not doing a happy job	Check and mate.	All alone	sad	others
257	Dedicate me song	I would like to dedicate all the happy songs to everyone ♥	You are not good	sad	others
262	Ohh	Yea	🙂	others	sad
288	WHAT WHAT ARE YOU GOING ON ABOUT IS THIS BOT GONE	It's comical, even if it's not funny.	WHAT TJHELL	angry	others
